set_number,event_type,latitude,longitude,created_at
1,net recovered,45.774233333333335,-61.586733333333335,2023-09-07 18:27:23 UTC
1,door recovered,45.7734,-61.584516666666666,2023-09-07 18:22:31 UTC
1,net off bottom,45.772666666666666,-61.583133333333336,2023-09-07 18:19:37 UTC
1,haul back,45.772466666666666,-61.5828,2023-09-07 18:19:10 UTC
1,net on bottom,45.76251666666667,-61.565216666666664,2023-09-07 18:00:13 UTC
1,warp deployed,45.76095,-61.56251666666667,2023-09-07 17:57:53 UTC
1,doors deployed,45.759083333333336,-61.55955,2023-09-07 17:55:43 UTC
1,net deployed,45.755316666666666,-61.553266666666666,2023-09-07 17:48:02 UTC
2,net recovered,45.812416666666664,-61.79078333333333,2023-09-07 23:26:53 UTC
2,door recovered,45.81635,-61.791533333333334,2023-09-07 23:19:41 UTC
2,net off bottom,45.81738333333333,-61.791783333333335,2023-09-07 23:17:12 UTC
2,haul back,45.81778333333333,-61.79193333333333,2023-09-07 23:16:32 UTC
2,net on bottom,45.8321,-61.79761666666667,2023-09-07 22:58:58 UTC
2,warp deployed,45.8352,-61.79931666666667,2023-09-07 22:55:48 UTC
2,doors deployed,45.83721666666667,-61.80065,2023-09-07 22:54:24 UTC
2,net deployed,45.839166666666664,-61.80191666666666,2023-09-07 22:52:10 UTC
4,net recovered,45.89895,-61.84775,2023-09-08 04:12:04 UTC
4,door recovered,45.89886666666666,-61.84473333333333,2023-09-08 04:07:08 UTC
4,net off bottom,45.897866666666665,-61.84308333333333,2023-09-08 04:03:59 UTC
4,haul back,45.89765,-61.842666666666666,2023-09-08 04:03:27 UTC
4,net on bottom,45.88843333333333,-61.82245,2023-09-08 03:43:16 UTC
4,warp deployed,45.887033333333335,-61.81881666666666,2023-09-08 03:40:37 UTC
4,doors deployed,45.88401666666667,-61.811683333333335,2023-09-08 03:35:24 UTC
4,net deployed,45.882733333333334,-61.808816666666665,2023-09-08 03:33:01 UTC
5,net recovered,46.016666666666666,-61.891933333333334,2023-09-08 06:58:35 UTC
5,door recovered,46.0168,-61.890033333333335,2023-09-08 06:54:58 UTC
5,net off bottom,46.01658333333334,-61.88896666666667,2023-09-08 06:52:07 UTC
5,haul back,46.016466666666666,-61.88831666666667,2023-09-08 06:51:25 UTC
5,net on bottom,46.01206666666667,-61.8653,2023-09-08 06:31:21 UTC
5,warp deployed,46.011116666666666,-61.85941666666667,2023-09-08 06:27:19 UTC
5,doors deployed,46.01,-61.853033333333336,2023-09-08 06:24:09 UTC
5,net deployed,46.00938333333333,-61.84863333333333,2023-09-08 06:19:54 UTC
6,net recovered,46.144016666666666,-61.8561,2023-09-08 09:43:59 UTC
6,door recovered,46.14488333333333,-61.8535,2023-09-08 09:39:37 UTC
6,net off bottom,46.14491666666667,-61.852333333333334,2023-09-08 09:37:02 UTC
6,haul back,46.14485,-61.85185,2023-09-08 09:36:30 UTC
6,net on bottom,46.14126666666667,-61.82885,2023-09-08 09:16:39 UTC
6,warp deployed,46.140433333333334,-61.82338333333333,2023-09-08 09:12:57 UTC
6,doors deployed,46.139633333333336,-61.81805,2023-09-08 09:10:38 UTC
6,net deployed,46.13888333333333,-61.81385,2023-09-08 09:06:48 UTC
7,net recovered,46.137033333333335,-61.62056666666667,2023-09-08 12:36:24 UTC
7,door recovered,46.137816666666666,-61.61951666666667,2023-09-08 12:31:51 UTC
7,net off bottom,46.1382,-61.61881666666667,2023-09-08 12:29:33 UTC
7,net on bottom,46.15026666666667,-61.60208333333333,2023-09-08 12:09:20 UTC
7,warp deployed,46.15286666666667,-61.59843333333333,2023-09-08 12:05:40 UTC
7,doors deployed,46.1555,-61.59481666666667,2023-09-08 12:03:23 UTC
7,net deployed,46.1585,-61.590583333333335,2023-09-08 11:58:00 UTC
8,net recovered,46.49335,-61.5374,2023-09-08 16:21:04 UTC
8,door recovered,46.490966666666665,-61.53848333333333,2023-09-08 16:14:42 UTC
8,net off bottom,46.49025,-61.538466666666665,2023-09-08 16:12:44 UTC
8,haul back,46.48983333333334,-61.53823333333333,2023-09-08 16:12:05 UTC
8,net on bottom,46.475366666666666,-61.52775,2023-09-08 15:52:48 UTC
8,warp deployed,46.47143333333333,-61.52551666666667,2023-09-08 15:48:36 UTC
8,doors deployed,46.468516666666666,-61.523633333333336,2023-09-08 15:46:52 UTC
8,net deployed,46.46471666666667,-61.52183333333333,2023-09-08 15:42:36 UTC
9,net recovered,46.49718333333333,-61.213683333333336,2023-09-08 18:48:41 UTC
9,door recovered,46.49491666666667,-61.2162,2023-09-08 18:41:53 UTC
9,net off bottom,46.49451666666667,-61.216683333333336,2023-09-08 18:40:15 UTC
9,haul back,46.494166666666665,-61.21703333333333,2023-09-08 18:39:33 UTC
9,net on bottom,46.4815,-61.229533333333336,2023-09-08 18:20:37 UTC
9,warp deployed,46.4782,-61.23275,2023-09-08 18:16:43 UTC
9,doors deployed,46.47461666666667,-61.2362,2023-09-08 18:14:14 UTC
9,net deployed,46.46755,-61.24355,2023-09-08 18:05:57 UTC
10,net recovered,46.81636666666667,-61.427533333333336,2023-09-08 22:08:04 UTC
10,door recovered,46.81516666666667,-61.42953333333333,2023-09-08 22:02:17 UTC
10,net off bottom,46.814683333333335,-61.43065,2023-09-08 21:59:30 UTC
10,haul back,46.81458333333333,-61.430883333333334,2023-09-08 21:59:13 UTC
10,net on bottom,46.80555,-61.450833333333335,2023-09-08 21:39:50 UTC
10,warp deployed,46.803866666666664,-61.454566666666665,2023-09-08 21:36:30 UTC
10,doors deployed,46.80136666666667,-61.4601,2023-09-08 21:32:52 UTC
10,net deployed,46.799616666666665,-61.46423333333333,2023-09-08 21:28:03 UTC
11,net off bottom,46.90885,-61.10435,2023-09-09 01:00:04 UTC
11,haul back,46.908433333333335,-61.104616666666665,2023-09-09 00:59:15 UTC
11,net on bottom,46.893683333333335,-61.11318333333333,2023-09-09 00:40:20 UTC
11,warp deployed,46.890433333333334,-61.115833333333335,2023-09-09 00:36:16 UTC
11,doors deployed,46.8861,-61.1198,2023-09-09 00:32:30 UTC
11,net deployed,46.88165,-61.12466666666667,2023-09-09 00:24:44 UTC
12,net off bottom,46.87996666666667,-60.906616666666665,2023-09-09 03:22:01 UTC
12,haul back,46.87963333333333,-60.9069,2023-09-09 03:21:27 UTC
12,net on bottom,46.86516666666667,-60.918533333333336,2023-09-09 03:01:35 UTC
12,warp deployed,46.85945,-60.923,2023-09-09 02:54:25 UTC
12,doors deployed,46.85393333333333,-60.927683333333334,2023-09-09 02:50:36 UTC
12,net deployed,46.8513,-60.93025,2023-09-09 02:46:55 UTC
13,net recovered,47.09735,-60.899966666666664,2023-09-09 06:15:26 UTC
13,door recovered,47.0955,-60.90035,2023-09-09 06:11:37 UTC
13,net off bottom,47.094366666666666,-60.90036666666666,2023-09-09 06:08:26 UTC
13,haul back,47.094,-60.90018333333333,2023-09-09 06:07:54 UTC
13,net on bottom,47.07868333333333,-60.89066666666667,2023-09-09 05:48:03 UTC
13,warp deployed,47.07385,-60.8877,2023-09-09 05:42:37 UTC
13,doors deployed,47.06868333333333,-60.88328333333333,2023-09-09 05:38:48 UTC
13,net deployed,47.065866666666665,-60.88125,2023-09-09 05:34:28 UTC
14,net recovered,47.1095,-60.41408333333333,2023-09-09 10:15:35 UTC
14,door recovered,47.110533333333336,-60.412016666666666,2023-09-09 10:10:08 UTC
14,net off bottom,47.110866666666666,-60.41081666666667,2023-09-09 10:06:26 UTC
14,haul back,47.110866666666666,-60.40998333333334,2023-09-09 10:05:29 UTC
14,net on bottom,47.110566666666664,-60.386266666666664,2023-09-09 09:45:59 UTC
14,warp deployed,47.111,-60.37361666666666,2023-09-09 09:36:14 UTC
14,doors deployed,47.11091666666667,-60.36383333333333,2023-09-09 09:32:20 UTC
14,net deployed,47.11105,-60.36076666666666,2023-09-09 09:29:35 UTC
15,net recovered,47.1939,-60.36155,2023-09-09 13:05:33 UTC
15,door recovered,47.19501666666667,-60.3653,2023-09-09 13:00:47 UTC
15,net off bottom,47.196733333333334,-60.36651666666667,2023-09-09 12:56:25 UTC
15,haul back,47.1971,-60.36646666666667,2023-09-09 12:55:55 UTC
15,net on bottom,47.21285,-60.3622,2023-09-09 12:36:27 UTC
15,warp deployed,47.22058333333333,-60.360283333333335,2023-09-09 12:27:28 UTC
15,doors deployed,47.228683333333336,-60.35765,2023-09-09 12:22:33 UTC
15,net deployed,47.2287,-60.35765,2023-09-09 12:22:31 UTC
16,net recovered,47.34486666666667,-60.3417,2023-09-09 15:49:34 UTC
16,door recovered,47.34171666666667,-60.344633333333334,2023-09-09 15:44:04 UTC
16,net off bottom,47.34118333333333,-60.3454,2023-09-09 15:41:19 UTC
16,haul back,47.34065,-60.345683333333334,2023-09-09 15:40:25 UTC
16,net on bottom,47.3247,-60.35288333333333,2023-09-09 15:21:13 UTC
16,warp deployed,47.3171,-60.35706666666667,2023-09-09 15:12:42 UTC
16,doors deployed,47.31166666666667,-60.360033333333334,2023-09-09 15:09:25 UTC
16,net deployed,47.30811666666666,-60.36185,2023-09-09 15:05:45 UTC
17,net recovered,47.3503,-60.58935,2023-09-09 18:04:09 UTC
17,door recovered,47.34961666666667,-60.5872,2023-09-09 17:58:47 UTC
17,net off bottom,47.3498,-60.5862,2023-09-09 17:56:27 UTC
17,haul back,47.34995,-60.585816666666666,2023-09-09 17:56:01 UTC
17,net on bottom,47.357816666666665,-60.5688,2023-09-09 17:39:15 UTC
17,warp deployed,47.360083333333336,-60.56438333333333,2023-09-09 17:35:36 UTC
17,doors deployed,47.3624,-60.557916666666664,2023-09-09 17:32:18 UTC
17,net deployed,47.36291666666666,-60.5556,2023-09-09 17:29:03 UTC
18,net recovered,47.53415,-60.534083333333335,2023-09-09 21:17:54 UTC
18,door recovered,47.53081666666667,-60.53516666666667,2023-09-09 21:13:08 UTC
18,net off bottom,47.52993333333333,-60.535466666666665,2023-09-09 21:10:44 UTC
18,haul back,47.52988333333333,-60.53548333333333,2023-09-09 21:10:40 UTC
18,net on bottom,47.51635,-60.53021666666667,2023-09-09 20:53:42 UTC
18,warp deployed,47.511833333333335,-60.527566666666665,2023-09-09 20:48:40 UTC
18,doors deployed,47.507266666666666,-60.52333333333333,2023-09-09 20:45:33 UTC
18,net deployed,47.50256666666667,-60.51983333333333,2023-09-09 20:40:03 UTC
19,net recovered,47.651383333333335,-60.459183333333335,2023-09-09 23:20:50 UTC
19,door recovered,47.64745,-60.45855,2023-09-09 23:14:53 UTC
19,net off bottom,47.64568333333333,-60.458783333333336,2023-09-09 23:09:12 UTC
19,haul back,47.64496666666667,-60.458616666666664,2023-09-09 23:07:58 UTC
19,net on bottom,47.62955,-60.45356666666667,2023-09-09 22:49:13 UTC
19,warp deployed,47.61991666666667,-60.449133333333336,2023-09-09 22:38:18 UTC
19,doors deployed,47.60808333333333,-60.44213333333333,2023-09-09 22:31:31 UTC
19,net deployed,47.60438333333333,-60.44056666666667,2023-09-09 22:27:04 UTC
20,door recovered,47.65786666666666,-60.55721666666667,2023-09-10 01:29:00 UTC
20,net off bottom,47.65708333333333,-60.557183333333334,2023-09-10 01:26:05 UTC
20,haul back,47.6566,-60.55685,2023-09-10 01:25:13 UTC
20,net on bottom,47.656,-60.55636666666667,2023-09-10 01:24:24 UTC
20,warp deployed,47.63615,-60.539766666666665,2023-09-10 00:59:01 UTC
20,doors deployed,47.6305,-60.53445,2023-09-10 00:54:57 UTC
20,net deployed,47.626983333333335,-60.53136666666666,2023-09-10 00:50:38 UTC
21,net recovered,47.81863333333333,-60.616566666666664,2023-09-10 04:14:51 UTC
21,door recovered,47.81786666666667,-60.61363333333333,2023-09-10 04:09:39 UTC
21,net off bottom,47.81698333333333,-60.611716666666666,2023-09-10 04:03:58 UTC
21,haul back,47.816633333333336,-60.611216666666664,2023-09-10 04:03:12 UTC
21,net on bottom,47.80453333333333,-60.595416666666665,2023-09-10 03:43:54 UTC
21,warp deployed,47.795766666666665,-60.58423333333333,2023-09-10 03:30:43 UTC
21,doors deployed,47.786833333333334,-60.5728,2023-09-10 03:24:09 UTC
21,net deployed,47.784,-60.56905,2023-09-10 03:20:02 UTC
22,net recovered,47.81681666666667,-60.83166666666666,2023-09-10 06:59:57 UTC
22,door recovered,47.81843333333333,-60.82631666666666,2023-09-10 06:52:59 UTC
22,net off bottom,47.8176,-60.823116666666664,2023-09-10 06:46:48 UTC
22,haul back,47.81745,-60.822966666666666,2023-09-10 06:46:33 UTC
22,net on bottom,47.803333333333335,-60.81061666666667,2023-09-10 06:26:41 UTC
22,warp deployed,47.7998,-60.80721666666667,2023-09-10 06:22:09 UTC
22,doors deployed,47.7957,-60.803783333333335,2023-09-10 06:18:53 UTC
22,net deployed,47.7936,-60.80166666666667,2023-09-10 06:14:58 UTC
23,net recovered,47.8196,-60.827133333333336,2023-09-10 08:30:20 UTC
23,door recovered,47.819583333333334,-60.82468333333333,2023-09-10 08:25:52 UTC
23,net off bottom,47.819183333333335,-60.82386666666667,2023-09-10 08:23:33 UTC
23,haul back,47.81883333333333,-60.8235,2023-09-10 08:22:52 UTC
23,net on bottom,47.8051,-60.810966666666666,2023-09-10 08:03:17 UTC
23,warp deployed,47.801433333333335,-60.807433333333336,2023-09-10 07:58:38 UTC
23,doors deployed,47.797016666666664,-60.803716666666666,2023-09-10 07:55:08 UTC
23,net deployed,47.794200000000004,-60.80116666666667,2023-09-10 07:51:09 UTC
24,net recovered,47.94371666666667,-60.84596666666667,2023-09-10 10:46:08 UTC
24,door recovered,47.942033333333335,-60.842616666666665,2023-09-10 10:40:43 UTC
24,net off bottom,47.94103333333334,-60.840833333333336,2023-09-10 10:34:36 UTC
24,haul back,47.94081666666666,-60.84041666666667,2023-09-10 10:34:04 UTC
24,net on bottom,47.9311,-60.82073333333334,2023-09-10 10:14:35 UTC
24,warp deployed,47.92476666666666,-60.80781666666667,2023-09-10 10:02:18 UTC
24,doors deployed,47.91805,-60.79463333333333,2023-09-10 09:56:19 UTC
24,net deployed,47.916516666666666,-60.79148333333333,2023-09-10 09:53:13 UTC
25,net recovered,47.93813333333333,-60.94595,2023-09-10 13:16:53 UTC
25,door recovered,47.93771666666667,-60.9439,2023-09-10 13:12:23 UTC
