air_temperature_celsius,auxiliary_equipment,auxiliary_equipment_id,barometer,bottom_salinity,bottom_temp_c,bottom_types,bridge,cloud_coverage_code,created_at,created_by,created_by_id,crow_distance,cruise,cruise_id,distance_towed,distance_towed_obtained_code,duration,end_date,end_depth_m,end_latitude,end_latitude_DD,end_latitude_MMmm,end_longitude,end_longitude_DD,end_longitude_MMmm,experiment_type,experiment_type_id,fill_percent,force_complete,gear_type,gear_type_id,hopper_used,id,is_active,is_opened,light_intensity,light_intensity_id,logging_on,max_depth_m,min_depth_m,nafo_area,operations,port_warp,precipitation,recorder,remarks,sea_state_code,set_number,set_result,set_result_id,ship_direction,ship_speed,ship_speed_obtained_code,shrimp_fishing_unit,shrimp_management,shrimp_management_id,speed,starboard_warp,start_date,start_depth_m,start_latitude,start_latitude_DD,start_latitude_MMmm,start_longitude,start_longitude_DD,start_longitude_MMmm,station_number,stratum,swell_direction,swell_height_code,swell_period_code,temp_logger_number,tide_direction_code,track_distance,trap_number,trawl_cable_length,trawl_opening,trawl_retention_cable,trawling_unit,updated_at,updated_by,updated_by_id,uuid,warp_units_code,wave_height,wave_period_code,weather_code,wind_direction_code,wind_direction_degree,wind_force_code,wind_force_kts
20.6,0 - No auxiliary equipment,1,1002.8,29.57,6.25,,Greg Macdonald,4 - 4 eighths,2023-09-07 14:14:53 UTC,sylvainf,69,0.9677584044557468,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.4,2023-09-07 18:19:37 UTC,28.1,45.772666666666666,45,46.3600000000001,-61.583133333333336,-61,34.98799999999998,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,413,No,No,,,Yes,28.11,24.79,4TG,"Fishing, CTD",104,,Maxime Gauvin,,,1,1 - NORMAL - No damage to gear,1,308,3.0,4 - LORAN bearings or GPS,,,,2.99,104,2023-09-07 18:00:13 UTC,24.86,45.76251666666667,45,45.75099999999996,-61.565216666666664,-61,33.91299999999998,011,403,,0.0,,,,0.9647831119228287,,,,,,2023-09-07 22:43:00 UTC,bridge,31,f65e8395-f264-354b-aee8-a642b3934260,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,8 - 293° to 337° (northwest),330.0,3 - 7 to 10 kts (gentle breeze),9.0
19.3,0 - No auxiliary equipment,1,1005.0,29.35,8.95,,Greg Macdonald,8 - 8 eighths,2023-09-07 18:34:11 UTC,sylvainf,69,0.9177047242385403,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,18.23,2023-09-07 23:17:12 UTC,32.66,45.81738333333333,45,49.042999999999786,-61.791783333333335,-61,47.50700000000021,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,416,No,No,,,Yes,34.63,32.61,4TG,"Fishing, CTD, Zooplankton Tow",134,,Logan Clark,,,2,1 - NORMAL - No damage to gear,1,163,3.0,1 - Ships log or distance program,,,,3.02,134,2023-09-07 22:58:58 UTC,34.01,45.8321,45,49.92599999999996,-61.79761666666667,-61,47.85700000000021,009,403,,0.2,,,,0.913279112937632,,,,,,2023-09-08 01:24:08 UTC,bridge,31,c897a3f9-43b9-3dba-9ec6-bcc36a94652f,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,8 - 293° to 337° (northwest),296.0,4 - 11 to 16 kts (moderate breeze),14.0
,,,,29.39,8.35,,,,2023-09-07 18:34:26 UTC,sylvainf,69,,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,,,,,,,,,,,,,No,,,,417,No,No,,,Yes,,,4TG,CTD,,,,,,3,,,,,,,,,,,,,,,,,,,010,403,,,,,,,,,,,,2023-09-08 02:01:15 UTC,dan,13,df739909-4122-3c46-ae61-12773008e0d7,,,,,,,,
17.0,0 - No auxiliary equipment,1,1008.0,29.47,7.67,,Glenn D’Entremont,8 - 8 eighths,2023-09-07 20:12:47 UTC,sylvainf,69,1.0327620412409526,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.72,2023-09-08 04:03:59 UTC,38.62,45.897866666666665,45,53.872000000000114,-61.84308333333333,-61,50.5850000000001,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,starboard,418,No,No,,,Yes,38.62,37.91,4TG,"Fishing, CTD",143,,Logan Clark,,,4,1 - NORMAL - No damage to gear,1,282,5.0,1 - Ships log or distance program,,,,2.99,143,2023-09-08 03:43:16 UTC,37.98,45.88843333333333,45,53.30599999999977,-61.82245,-61,49.347000000000115,008,403,,0.3,,,,1.0347194182341688,,,,,,2023-09-08 06:45:43 UTC,bridge,31,7d568d45-acfe-3131-971c-eb02e4d4c158,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,7 - 248° to 292° (west),277.0,5 - 17 to 21 kts (fresh breeze),18.0
17.0,0 - No auxiliary equipment,1,1007.0,30.24,3.06,,Glenn D’Entremont,7 - 7 eighths,2023-09-08 02:14:04 UTC,sylvainf,69,1.0245478183645247,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.77,2023-09-08 06:52:07 UTC,50.32,46.01658333333334,46,0.9950000000001941,-61.88896666666667,-61,53.33799999999998,1 - Stratified random survey set,1,,No,9 - Western IIA trawl,1,port,424,No,No,,,Yes,50.75,50.26,4TG,"Fishing, CTD",175,,Logan Clark,,,5,1 - NORMAL - No damage to gear,1,218,3.0,1 - Ships log or distance program,,,,2.96,175,2023-09-08 06:31:21 UTC,50.33,46.01206666666667,46,0.7240000000000388,-61.8653,-61,51.917999999999786,123,433,,0.3,,,,1.0267832835180417,,,,,,2023-09-08 09:15:25 UTC,bridge,31,d00f1385-8de1-3a4e-a5b9-d34b26cb87bf,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,8 - 293° to 337° (northwest),300.0,4 - 11 to 16 kts (moderate breeze),15.0
17.9,0 - No auxiliary equipment,1,1011.7,30.46,2.12,,Glenn D’Entremont,8 - 8 eighths,2023-09-08 02:14:27 UTC,sylvainf,69,1.0022923511528878,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.38,2023-09-08 09:37:02 UTC,48.07,46.14491666666667,46,8.695000000000194,-61.852333333333334,-61,51.1399999999999,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,425,No,No,,,Yes,49.7,48.02,4TG,"Fishing, CTD, Zooplankton Tow",173,,Maxime Gauvin,,,6,1 - NORMAL - No damage to gear,1,281,3.0,4 - LORAN bearings or GPS,,,,2.95,170,2023-09-08 09:16:39 UTC,49.58,46.14126666666667,46,8.475999999999962,-61.82885,-61,49.73100000000025,122,433,,0.1,,,,0.999863267794168,,,,,,2023-09-08 12:01:06 UTC,bridge,31,37218277-1ec9-33eb-a9ce-87fe71378759,1 - meters,,,10 - Mist,8 - 293° to 337° (northwest),297.0,4 - 11 to 16 kts (moderate breeze),11.0
18.1,0 - No auxiliary equipment,1,1014.2,30.33,2.77,,Glenn D’Entremont,8 - 8 eighths,2023-09-08 02:14:40 UTC,sylvainf,69,1.0058178842810055,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.22,2023-09-08 12:29:33 UTC,51.86,46.1382,46,8.291999999999826,-61.61881666666667,-61,37.12899999999984,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,426,No,No,,,Yes,52.01,51.54,4TG,"Fishing, CTD",176,,Maxime Gauvin,,,7,1 - NORMAL - No damage to gear,1,223,3.0,4 - LORAN bearings or GPS,,,,2.98,176,2023-09-08 12:09:20 UTC,51.68,46.15026666666667,46,9.015999999999865,-61.60208333333333,-61,36.125,120,433,,0.2,,,,1.0033518047243777,,,,,,2023-09-08 13:35:15 UTC,bridge,31,ded5bddd-0485-3549-8f11-6ad015554190,1 - meters,,,"47 - Fog or ice fog, sky invisible; has begun or has become thicker during the preceding hour",7 - 248° to 292° (west),257.0,4 - 11 to 16 kts (moderate breeze),14.0
18.4,0 - No auxiliary equipment,1,1014.4,31.32,1.1,,Greg Macdonald,8 - 8 eighths,2023-09-08 02:14:54 UTC,sylvainf,69,0.9985174166527833,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.93,2023-09-08 16:12:44 UTC,59.4,46.49025,46,29.415000000000386,-61.538466666666665,-61,32.30799999999969,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,427,No,No,,,Yes,59.41,58.78,4TG,"Fishing, CTD",205,,Maxime Gauvin,,,8,1 - NORMAL - No damage to gear,1,333,3.0,4 - LORAN bearings or GPS,,,,3.01,207,2023-09-08 15:52:48 UTC,59.04,46.475366666666666,46,28.522000000000116,-61.52775,-61,31.664999999999903,135,434,,0.2,,,,0.9983743726352438,,,,,,2023-09-08 18:15:00 UTC,bridge,31,3877b001-798b-3da2-87e9-083edce48dee,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,5 - 158° to 202° (south),188.0,3 - 7 to 10 kts (gentle breeze),8.0
18.9,0 - No auxiliary equipment,1,1014.2,30.81,2.0,,Greg Macdonald,8 - 8 eighths,2023-09-08 02:15:04 UTC,sylvainf,69,0.9460152152266779,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.63,2023-09-08 18:40:15 UTC,53.28,46.49451666666667,46,29.671000000000156,-61.216683333333336,-61,13.00099999999996,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,428,No,No,,,Yes,54.31,51.22,4TG,"Fishing, CTD",170,,Maxime Gauvin,,,9,1 - NORMAL - No damage to gear,1,034,3.0,4 - LORAN bearings or GPS,,,,2.89,170,2023-09-08 18:20:37 UTC,53.35,46.4815,46,28.889999999999905,-61.229533333333336,-61,13.772000000000116,134,434,,0.2,,,,0.9444041230836512,,,,,,2023-09-08 20:05:34 UTC,bridge,31,e7480b1d-861a-3bca-8c62-e9d9e7f2f682,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,4 - 113° to 157° (southeast),150.0,1 - 1 to 3 kts (light air),2.0
18.0,0 - No auxiliary equipment,1,1005.0,31.5,0.73,,Greg Macdonald,2 - 2 eighths,2023-09-08 18:24:49 UTC,eliane,27,0.9953897554854553,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.67,2023-09-08 21:59:30 UTC,62.62,46.814683333333335,46,48.88100000000025,-61.43065,-61,25.838999999999942,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,429,No,No,,,Yes,64.29,61.75,4TG,"Fishing, CTD",208,,Logan Clark,,,10,1 - NORMAL - No damage to gear,1,056,2.8,1 - Ships log or distance program,,,,3.04,208,2023-09-08 21:39:50 UTC,64.04,46.80555,46,48.33299999999969,-61.450833333333335,-61,27.05,131,434,,1.0,,,,0.9947448696208329,,,,,,2023-09-09 00:11:20 UTC,bridge,31,83f89145-8279-37ea-9b01-95f26102d5e6,1 - meters,,,1 - Clouds generally dissolving or becoming less developed; Characteristic change of the state of sky during the past hour,3 - 068° to 112° (east),101.0,2 - 4 to 6 kts (light breeze),6.0
18.0,0 - No auxiliary equipment,1,1006.0,32.1,1.52,,Greg Macdonald,2 - 2 eighths,2023-09-08 18:54:11 UTC,sylvainf,69,0.981158365783611,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.73,2023-09-09 01:00:04 UTC,74.21,46.90885,46,54.531000000000255,-61.10435,-61,6.260999999999573,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,430,No,No,,,Yes,75.23,71.19,4TG,"Fishing, CTD",223,,Logan Clark,,,11,1 - NORMAL - No damage to gear,1,024,2.5,1 - Ships log or distance program,,,,2.98,223,2023-09-09 00:40:20 UTC,74.31,46.893683333333335,46,53.62100000000016,-61.11318333333333,-61,6.7909999999998645,130,434,,1.0,,,,0.9811384597484358,,,,,,2023-09-09 02:40:51 UTC,bridge,31,35a61fc0-cfb8-30ff-a72e-5139d63c75ee,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,3 - 068° to 112° (east),95.0,3 - 7 to 10 kts (gentle breeze),8.0
18.0,0 - No auxiliary equipment,1,1005.0,32.49,2.01,,Glenn D’Entremont,4 - 4 eighths,2023-09-08 18:54:37 UTC,sylvainf,69,1.0154510326430966,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.43,2023-09-09 03:22:01 UTC,118.33,46.87996666666667,46,52.79800000000008,-60.906616666666665,-60,54.39700000000012,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,431,No,No,,,Yes,120.9,117.14,4TG,"Fishing, CTD",287,,Logan Clark,,,12,1 - NORMAL - No damage to gear,1,028,3.0,1 - Ships log or distance program,,,,2.98,287,2023-09-09 03:01:35 UTC,117.6,46.86516666666667,46,51.910000000000096,-60.918533333333336,-60,55.112000000000016,151,437,,1.0,,,,1.0120275112647097,,,,,,2023-09-09 05:28:05 UTC,bridge,31,ddd73e6c-d17c-333f-8691-7c6fdf1c7016,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,3 - 068° to 112° (east),90.0,3 - 7 to 10 kts (gentle breeze),8.0
18.0,0 - No auxiliary equipment,1,1015.0,33.4,3.88,,Glenn D’Entremont,3 - 3 eighths,2023-09-08 18:54:52 UTC,sylvainf,69,1.0228651520774217,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.38,2023-09-09 06:08:26 UTC,114.31,47.094366666666666,47,5.6620000000000195,-60.90036666666666,-60,54.02199999999963,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,432,No,No,,,Yes,115.73,112.64,4TF,"Fishing, CTD, Zooplankton Tow",280,,Logan Clark,,,13,1 - NORMAL - No damage to gear,1,011,3.0,1 - Ships log or distance program,,,,3.01,280,2023-09-09 05:48:03 UTC,113.64,47.07868333333333,47,4.72099999999967,-60.89066666666667,-60,53.439999999999905,152,437,,2.0,,,,1.0200493923803122,,,,,,2023-09-09 07:30:01 UTC,bridge,31,21c900f6-3bb9-36c5-a91f-22198d36dd3a,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,5 - 158° to 202° (south),200.0,5 - 17 to 21 kts (fresh breeze),19.0
22.0,2 - Rollers plus Codend only - no liners,3,1015.1,33.86,5.09,,Glenn D’Entremont,6 - 6 eighths,2023-09-08 22:38:13 UTC,sylvainf,69,1.0044558058131845,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,20.45,2023-09-09 10:06:26 UTC,160.22,47.110866666666666,47,6.651999999999923,-60.41081666666667,-60,24.64900000000004,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,433,No,No,,,Yes,160.87,158.12,4TF,"Fishing, CTD",396,,Maxime Gauvin,,,14,1 - NORMAL - No damage to gear,1,270,3.0,4 - LORAN bearings or GPS,,,,2.95,393,2023-09-09 09:45:59 UTC,159.33,47.110566666666664,47,6.63399999999965,-60.386266666666664,-60,23.175999999999963,149,437,,1.0,,,,1.0106624887295392,,,,,,2023-09-09 12:58:16 UTC,bridge,31,c4b77f21-6467-3fbb-8ae8-37408442ceb6,1 - meters,,,2 - State of sky on the whole unchanged; Characteristic change of the state of sky during the past hour,5 - 158° to 202° (south),165.0,3 - 7 to 10 kts (gentle breeze),9.0
20.9,2 - Rollers plus Codend only - no liners,3,1015.9,34.78,7.01,,Glenn D’Entremont,8 - 8 eighths,2023-09-08 22:38:28 UTC,sylvainf,69,0.9846376143893159,2023 Gulf Region Ecosystem Survey (CAR-2023-300),58,,,19.97,2023-09-09 12:56:25 UTC,182.76,47.196733333333334,47,11.803999999999844,-60.36651666666667,-60,21.991000000000348,1 - Stratified random survey set,1,,No,23 - Northeast Fisheries Science Center Ecosystem Survey Trawl (NEST),2,port,434,No,No,,,Yes,185.13,182.48,4TF,"Fishing, CTD, Zooplankton Tow",427,,Maxime Gauvin,,,15,1 - NORMAL - No damage to gear,1,190,3.0,4 - LORAN bearings or GPS,,,,2.96,425,2023-09-09 12:36:27 UTC,184.27,47.21285,47,12.771000000000155,-60.3622,-60,21.732000000000212,160,439,,1.0,,,,0.9824401064925606,,,,,,2023-09-09 14:09:27 UTC,bridge,31,a683db5a-23d3-3bf1-a507-6db3cad9398a,1 - meters,,,3 - Clouds generally forming or developing; Characteristic change of the state of sky during the past hour,6 - 203° to 247° (southwest),230.0,5 - 17 to 21 kts (fresh breeze),20.0
